id,outline,director,genre,certificate,representation,year,pkg_name,rating,runtime,date,actor,stars,name
42,Audio classification,Education,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:71,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
43,Audio classification,Education,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:72,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
44,Image classification,Tools,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:73,Al Pacino,Marlon Brando,네이버-Naver
45,Image classification,Tools,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:74,Al Pacino,Marlon Brando,네이버-Naver
46,Image classification,Tools,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:75,Al Pacino,Marlon Brando,네이버-Naver
47,Image classification,Tools,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:76,Al Pacino,Marlon Brando,네이버-Naver
48,Image classification,Tools,Dynamic,Photo editor,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:77,Al Pacino,Marlon Brando,네이버-Naver
49,Image classification,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:78,Al Pacino,Marlon Brando,네이버-Naver
50,Image classification,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:79,Al Pacino,Marlon Brando,네이버-Naver
51,Image classification,Tools,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:80,Al Pacino,Marlon Brando,네이버-Naver
52,Image classification,Tools,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:81,Al Pacino,Marlon Brando,네이버-Naver
53,Image classification,Tools,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:82,Al Pacino,Marlon Brando,네이버-Naver
54,Audio classification,Tools,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.AC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:83,Al Pacino,Marlon Brando,네이버-Naver
55,Text recognition,Tools,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:84,Al Pacino,Marlon Brando,네이버-Naver
56,Text recognition,Tools,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:85,Al Pacino,Marlon Brando,네이버-Naver
57,Text recognition,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:86,Al Pacino,Marlon Brando,네이버-Naver
58,Text recognition,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:87,Al Pacino,Marlon Brando,네이버-Naver
59,Text recognition,Tools,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:88,Al Pacino,Marlon Brando,네이버-Naver
60,Text recognition,Tools,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:89,Al Pacino,Marlon Brando,네이버-Naver
61,Text recognition,Tools,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:90,Al Pacino,Marlon Brando,네이버-Naver
62,Speech recongnition,Tools,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:91,Al Pacino,Marlon Brando,네이버-Naver
63,Speech recongnition,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:92,Al Pacino,Marlon Brando,네이버-Naver
64,Speech recongnition,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:93,Al Pacino,Marlon Brando,네이버-Naver
65,Speech recongnition,Tools,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:94,Al Pacino,Marlon Brando,네이버-Naver
66,Speech recongnition,Tools,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:95,Al Pacino,Marlon Brando,네이버-Naver
67,Speech recongnition,Tools,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:96,Al Pacino,Marlon Brando,네이버-Naver
68,Face detection,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:97,Al Pacino,Marlon Brando,Fritz AI Studio
69,Face detection,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:98,Al Pacino,Marlon Brando,Fritz AI Studio
70,Face detection,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:99,Al Pacino,Marlon Brando,Fritz AI Studio
71,Face detection,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:100,Al Pacino,Marlon Brando,Fritz AI Studio
72,Face detection,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:101,Al Pacino,Marlon Brando,Fritz AI Studio
73,Face detection,Libraries and Demo,Dynamic,Photo editor,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:102,Al Pacino,Marlon Brando,Fritz AI Studio
74,Object detection and tracking,Libraries and Demo,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:103,Al Pacino,Marlon Brando,Fritz AI Studio
75,Object detection and tracking,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:104,Al Pacino,Marlon Brando,Fritz AI Studio
76,Object detection and tracking,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:105,Al Pacino,Marlon Brando,Fritz AI Studio
77,Object detection and tracking,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:106,Al Pacino,Marlon Brando,Fritz AI Studio
78,Object detection and tracking,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:107,Al Pacino,Marlon Brando,Fritz AI Studio
79,Object detection and tracking,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:108,Al Pacino,Marlon Brando,Fritz AI Studio
80,Object detection and tracking,Libraries and Demo,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:109,Al Pacino,Marlon Brando,Fritz AI Studio
81,Pose detection,Libraries and Demo,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:110,Al Pacino,Marlon Brando,Fritz AI Studio
82,Pose detection,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:111,Al Pacino,Marlon Brando,Fritz AI Studio
83,Pose detection,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:112,Al Pacino,Marlon Brando,Fritz AI Studio
84,Pose detection,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:113,Al Pacino,Marlon Brando,Fritz AI Studio
85,Pose detection,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:114,Al Pacino,Marlon Brando,Fritz AI Studio
86,Pose detection,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:115,Al Pacino,Marlon Brando,Fritz AI Studio
87,Style transfer,Libraries and Demo,No Interaction,No interaction with hardware input,None,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat_sty_no_in.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:116,Al Pacino,Marlon Brando,Fritz AI Studio
88,Image classification,Libraries and Demo,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:117,Al Pacino,Marlon Brando,Fritz AI Studio
89,Image classification,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:118,Al Pacino,Marlon Brando,Fritz AI Studio
90,Image classification,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:119,Al Pacino,Marlon Brando,Fritz AI Studio
91,Image classification,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:120,Al Pacino,Marlon Brando,Fritz AI Studio
92,Image classification,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:121,Al Pacino,Marlon Brando,Fritz AI Studio
93,Image classification,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:122,Al Pacino,Marlon Brando,Fritz AI Studio
94,Image classification,Libraries and Demo,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.IL.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:123,Al Pacino,Marlon Brando,Fritz AI Studio
95,Face detection,Libraries and Demo,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ch.zhaw.facerecognition.gif?raw=true,ch.zhaw.facerecognition,5,50,1974-04-30T10:29:29+05:124,Al Pacino,Marlon Brando,Face Recognition
96,Entity extraction,Finance,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/cn.com.hrcrb.mobilebank.per.gif?raw=true,cn.com.hrcrb.mobilebank.per,5,50,1974-04-30T10:29:29+05:125,Al Pacino,Marlon Brando,CHINA RESOURCES BANK 
97,Entity extraction,Finance,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/cn.com.hrcrb.mobilebank.per.gif?raw=true,cn.com.hrcrb.mobilebank.per,5,50,1974-04-30T10:29:29+05:126,Al Pacino,Marlon Brando,CHINA RESOURCES BANK 
98,Entity extraction,Finance,Dynamic,Object marker,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/cn.com.hrcrb.mobilebank.per.gif?raw=true,cn.com.hrcrb.mobilebank.per,5,50,1974-04-30T10:29:29+05:127,Al Pacino,Marlon Brando,CHINA RESOURCES BANK 
99,Text recognition,Finance,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/cn.com.hrcrb.mobilebank.per.gif?raw=true,cn.com.hrcrb.mobilebank.per,5,50,1974-04-30T10:29:29+05:128,Al Pacino,Marlon Brando,CHINA RESOURCES BANK 
